headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,headline_word_count
"Barclays Maintains Equal-Weight on Carnival, Raises Price Target to $53",2019-12-24,CCL,2019-12-24 14:10:00+00:00,CARNIVAL CORP,75154.0,14365830,-0.006242678500711918,0.007656129077076912,0.007656129077076912,0.0015705111768444802,0.007263501481778123,-0.034157790522055476,-0.17157436158027328,-0.7616573055590262,0.020912153646349907,0.09882093553007998,0.10047222640060394,0.0908703233218997,0.12882621666698024,0.15107144695402952,0.18989824876882233,10
Standpoint Research Upgrades Carnival to Buy,2019-12-23,CCL,2019-12-23 15:01:00+00:00,CARNIVAL CORP,75154.0,14365830,0.02091215364634991,-0.006242678500712029,0.0013656558239767413,0.0013656558239767413,-0.008388538590435535,-0.04877097198328417,-0.14592273963508895,-0.7631452023734144,0.07631291449069977,0.0779303806601701,0.0637711505805365,0.05816645537543952,0.12150990859903033,0.1274931372330077,0.15571249522513564,6
"SunTrust Robinson Humphrey Maintains Hold on Carnival, Raises Price Target to $51",2019-12-23,CCL,2019-12-23 14:19:00+00:00,CARNIVAL CORP,75154.0,14365830,0.02091215364634991,-0.006242678500712029,0.0013656558239767413,0.0013656558239767413,-0.008388538590435535,-0.04877097198328417,-0.14592273963508895,-0.7631452023734144,0.07631291449069977,0.0779303806601701,0.0637711505805365,0.05816645537543952,0.12150990859903033,0.1274931372330077,0.15571249522513564,12
"Deutsche Bank Maintains Hold on Carnival, Raises Price Target to $53",2019-12-23,CCL,2019-12-23 14:19:00+00:00,CARNIVAL CORP,75154.0,14365830,0.02091215364634991,-0.006242678500712029,0.0013656558239767413,0.0013656558239767413,-0.008388538590435535,-0.04877097198328417,-0.14592273963508895,-0.7631452023734144,0.07631291449069977,0.0779303806601701,0.0637711505805365,0.05816645537543952,0.12150990859903033,0.1274931372330077,0.15571249522513564,11
"Wedbush Maintains Neutral on Carnival, Raises Price Target to $50",2019-12-23,CCL,2019-12-23 13:10:00+00:00,CARNIVAL CORP,75154.0,14365830,0.02091215364634991,-0.006242678500712029,0.0013656558239767413,0.0013656558239767413,-0.008388538590435535,-0.04877097198328417,-0.14592273963508895,-0.7631452023734144,0.07631291449069977,0.0779303806601701,0.0637711505805365,0.05816645537543952,0.12150990859903033,0.1274931372330077,0.15571249522513564,10
"Carnival's Stock Is Still Cruising After Earnings Beat, Ship Collision",2019-12-20,CCL,2019-12-20 20:11:00+00:00,CARNIVAL CORP,75154.0,14365830,0.07631291449069977,0.020912153646349907,0.01453892729366646,0.022306368274745747,0.01613227201832501,-0.03345947634120083,-0.12089224613823091,-0.7984933825450905,0.0015027843182906508,-0.011652525711909667,-0.007235584935724515,-0.005330490187743342,0.05542988076947686,0.06360586973991067,-0.018056805072603543,10
"Royal Caribbean shares are trading higher in sympathy with Carnival, which reported strong Q4 results and issued upbeat Q1 EPS guidance.",2019-12-20,CCL,2019-12-20 15:35:00+00:00,CARNIVAL CORP,75154.0,14365830,0.07631291449069977,0.020912153646349907,0.01453892729366646,0.022306368274745747,0.01613227201832501,-0.03345947634120083,-0.12089224613823091,-0.7984933825450905,0.0015027843182906508,-0.011652525711909667,-0.007235584935724515,-0.005330490187743342,0.05542988076947686,0.06360586973991067,-0.018056805072603543,21
"Carnival Corporation Sees Q1 Adj. EPS $0.47-$0.51 vs $0.40 Est., Sees FY20 Adj. EPS $4.30-$4.60 vs $4.39 Est.",2019-12-20,CCL,2019-12-20 14:17:00+00:00,CARNIVAL CORP,75154.0,14365830,0.07631291449069977,0.020912153646349907,0.01453892729366646,0.022306368274745747,0.01613227201832501,-0.03345947634120083,-0.12089224613823091,-0.7984933825450905,0.0015027843182906508,-0.011652525711909667,-0.007235584935724515,-0.005330490187743342,0.05542988076947686,0.06360586973991067,-0.018056805072603543,18
"Carnival Q4 EPS $0.62 Beats $0.51 Estimate, Sales $4.8B Beat $4.59B Estimate",2019-12-20,CCL,2019-12-20 14:16:00+00:00,CARNIVAL CORP,75154.0,14365830,0.07631291449069977,0.020912153646349907,0.01453892729366646,0.022306368274745747,0.01613227201832501,-0.03345947634120083,-0.12089224613823091,-0.7984933825450905,0.0015027843182906508,-0.011652525711909667,-0.007235584935724515,-0.005330490187743342,0.05542988076947686,0.06360586973991067,-0.018056805072603543,12
"Carnival Cruise Line Reports Delivery Of Ship 'Mardi Gras' Will Be Delayed, Says First Revenue Sailing Of Ship Expected To Be Nov. 14, 2020",2019-12-20,CCL,2019-12-20 13:02:00+00:00,CARNIVAL CORP,75154.0,14365830,0.07631291449069977,0.020912153646349907,0.01453892729366646,0.022306368274745747,0.01613227201832501,-0.03345947634120083,-0.12089224613823091,-0.7984933825450905,0.0015027843182906508,-0.011652525711909667,-0.007235584935724515,-0.005330490187743342,0.05542988076947686,0.06360586973991067,-0.018056805072603543,24
Carnival's Q4 Earnings Outlook,2019-12-19,CCL,2019-12-19 18:06:00+00:00,CARNIVAL CORP,75154.0,14365830,0.001502784318290651,0.07631291449069977,0.09882093553007998,0.09196134969971403,0.10032154674019433,0.03708466312211245,-0.06623794059488441,-0.7982977138266301,-0.013135570101439953,-0.00872525707451055,-0.01833506656768158,0.017252695428571663,0.06153146558402223,0.05040966067787411,-0.010470830059856828,4
"Wells Fargo Maintains Overweight on Carnival, Lowers Price Target to $51",2019-12-18,CCL,2019-12-18 13:10:00+00:00,CARNIVAL CORP,75154.0,14365830,-0.01313557010143995,0.0015027843182906508,0.0779303806601701,0.10047222640060394,0.10197509270571259,0.07106048685741695,-0.08222416363702778,-0.7239259582672586,0.004469016101211309,-0.005268703895606075,0.006396571740844514,0.04148281276920063,0.0840606288186323,0.08004035015256217,0.0010184929086527461,11
Carnival Option Alert: Jan 17 $47.5 Calls Sweep (2) near the Ask: 1500 @ $1.425 vs 4594 OI; Earnings 12/31 Before Open [est] Ref=$47.115,2019-12-17,CCL,2019-12-17 16:43:00+00:00,CARNIVAL CORP,75154.0,14365830,0.004469016101211309,-0.013135570101439953,-0.011652525711909556,0.0637711505805365,0.07923724199592685,0.08707628330235417,-0.07775427403933932,-0.6876819655751643,-0.009694395586848259,0.001918979688507294,0.026206611929216583,0.03479413871072956,0.05619240119821267,0.10677863269553844,-0.014182043095215313,24
"CNB Financial Reports Purchase Of Bank Of Akron For $215/Share In Cash, Stock, Or $64.5M In Total",2019-12-18,CCNE,2019-12-18 22:14:00+00:00,C N B FINANCIAL CORP PA,86384.0,12612810,0.002116712974384427,0.002112241927534342,0.00573332660702075,-0.009354180980949423,-0.011466537971313473,-0.02232944728986408,-0.10229328395210358,-0.34600585717439813,0.005472797434777021,0.012863649048226566,0.013174028973675478,0.02989719874838892,0.06402830604096721,0.02644543342590122,0.11903628286190227,17
HSBC Downgrades United Breweries to Reduce,2019-12-20,CCU,2019-12-20 14:48:00+00:00,COMPANIA CERVECERIAS UNIDAS S A,77928.0,20442910,-0.01668351516127586,0.003084805328398943,-0.011311115925412007,0.0005140531955811767,-0.014910071134129566,-0.025192886339165943,-0.04473011535919302,-0.3629820137714874,0.016966575756669044,0.0205243918651421,0.028932411649049472,0.058361673640787703,0.06569959976345485,0.029993190975860617,-0.09788406967938057,6
Codexis to License its EvoT4 to Roche,2019-12-23,CDXS,2019-12-23 12:04:00+00:00,CODEXIS INC,93345.0,19200510,0.01103497669100761,0.0017698394367471337,-0.007669678961578219,0.0064895985860868866,-0.056637222238053786,0.014749265417620006,-0.0348082630906873,-0.4702065344201971,0.014216496609151363,0.04130428465669289,0.04130428465669289,0.06040473946566349,0.079523481035217,0.11692199019074145,0.23864052540394698,7
