headline,date,ticker,datetime_utc,company_name,permno,cusip,ret,ret_fd1,ret_fd2,ret_fd3,ret_fd5,ret_fd10,ret_fd30,ret_fd60,ret_ld1,ret_ld2,ret_ld3,ret_ld5,ret_ld10,ret_ld30,ret_ld60,Mkt-RF,SMB,HML,RF,PERMNO,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,headline_word_count
"Arrowhead Pharmaceuticals FY19 EPS $0.69 Up From $(0.65) YoY, Sales $168.796M Up From $16.142M YoY",2019-11-25,ARWR,2019-11-25 21:01:00+00:00,ARROWHEAD PHARMACEUTICALS INC,80069.0,04280A10,0.158333346247673,0.18792761862277985,0.21108957014022578,0.281101946649962,0.20477280744543092,0.24337601469349046,0.03421648499389773,-0.36146694051490613,0.0028536361642181873,0.01758019279647649,-0.025742557828554724,0.03709954142344096,0.16864614169041126,0.5115208013295862,0.4113597222487624,0.92,1.32,-0.38,0.006,80069,252,15.8333%,0.0055,1.6681,2.5437,-1.787,2.9241%,3.9444%,45.0418%,10.6252%,15
Arrowhead Pharmaceuticals shares are trading higher after Baird upgraded the company's stock from Neutral to Outperform and raised the price target from $39 to $70.,2019-11-25,ARWR,2019-11-25 12:44:00+00:00,ARROWHEAD PHARMACEUTICALS INC,80069.0,04280A10,0.158333346247673,0.18792761862277985,0.21108957014022578,0.281101946649962,0.20477280744543092,0.24337601469349046,0.03421648499389773,-0.36146694051490613,0.0028536361642181873,0.01758019279647649,-0.025742557828554724,0.03709954142344096,0.16864614169041126,0.5115208013295862,0.4113597222487624,0.92,1.32,-0.38,0.006,80069,252,15.8333%,0.0055,1.6681,2.5437,-1.787,2.9241%,3.9444%,45.0418%,10.6252%,25
"Baird Upgrades Arrowhead Pharmaceuticals to Outperform, Raises Price Target to $70",2019-11-25,ARWR,2019-11-25 11:41:00+00:00,ARROWHEAD PHARMACEUTICALS INC,80069.0,04280A10,0.158333346247673,0.18792761862277985,0.21108957014022578,0.281101946649962,0.20477280744543092,0.24337601469349046,0.03421648499389773,-0.36146694051490613,0.0028536361642181873,0.01758019279647649,-0.025742557828554724,0.03709954142344096,0.16864614169041126,0.5115208013295862,0.4113597222487624,0.92,1.32,-0.38,0.006,80069,252,15.8333%,0.0055,1.6681,2.5437,-1.787,2.9241%,3.9444%,45.0418%,10.6252%,11
"Astronics Reports Collaboration With China National Machinery Import, Export Corp., No Terms Disclosed",2019-11-25,ATRO,2019-11-25 11:31:00+00:00,ASTRONICS CORP,15457.0,04643310,0.02457601204514503,0.009797263890504837,0.012331073531887338,-0.015202727376092184,-0.03108108243685459,-0.009121635112536497,-0.04290541548709392,-0.1888513507285997,-0.022004112601280212,-0.040836699648408414,-0.052786904143893865,-0.058037192036143326,-0.07016415684113197,-0.022665769102948374,0.035483864336204096,0.92,1.32,-0.38,0.006,15457,252,2.4576%,-0.0005,1.2928,0.3719,0.2405,2.3903%,2.7291%,23.2867%,0.8551%,13
AudioCodes Announces Royalty Buyout Agreement With The Israel National Authority For Technology And Innovation; Co. To Pay ~$32.2M To IIA Over 3 Years,2019-11-25,AUDC,2019-11-25 14:03:00+00:00,AUDIOCODES LTD,86929.0,M1534210,0.008787295781075954,0.021341538056731224,0.04529620924692557,0.04398955907920232,0.060540128951518835,0.036585374237403157,0.11062722099480071,0.0662490435678107,-0.0008779831696301699,-0.01811907191095652,-0.019810470019096527,-0.02818103511497616,0.06954885111296694,0.2679665367956301,0.29465303706741497,0.92,1.32,-0.38,0.006,86929,252,0.8787%,0.0028,1.0962,0.2201,-0.1709,2.7039%,2.9345%,15.0955%,-0.4879%,23
"Armstrong World Industries, Inc. Acquires MRK Industries, Inc. ; Terms Not Disclosed",2019-11-25,AWI,2019-11-25 21:12:00+00:00,ARMSTRONG WORLD INDS INC NEW,91516.0,04247X10,0.01078485976904631,0.0284174382686615,0.024931258107152576,0.014367134111353819,-0.009719055100357643,-0.023135456965184042,0.03253744193951391,0.12148742547542035,0.0,-0.023869093507528305,-0.026406080005750954,-0.056042712855886356,-0.0007469004321423167,-0.032429446084695224,-0.002080377025957536,0.92,1.32,-0.38,0.006,91516,252,1.0785%,0.0011,0.8782,0.2197,0.0208,1.1815%,1.4847%,36.6746%,-0.0274%,12
Axis Capital Sees Prelim. Loss From Typhoon Hagibis $90M-$110M,2019-11-25,AXS,2019-11-25 21:22:00+00:00,AXIS CAPITAL HOLDINGS LTD,89789.0,G0692U10,0.0008593887323513627,0.0075562191195786,0.02026447445238344,0.016314628359741734,-0.0030911943227621697,0.009445291003519651,0.04270122477165805,0.06725574984189753,-0.001373120816424489,-0.008351762268816953,-0.011048810422980893,-0.01037592477343019,-0.03627627415929102,-0.06508113885109068,-0.06417518667528777,0.92,1.32,-0.38,0.006,89789,252,0.0859%,0.0002,0.4455,-0.0675,0.2898,1.0235%,1.1112%,15.1615%,-0.1556%,9
Acuity Brands Acquires LocusLabs; Terms Not Disclosed,2019-11-25,AYI,2019-11-25 21:19:00+00:00,ACUITY BRANDS INC,89216.0,00508Y10,0.01696648821234703,0.02100873738527298,0.028887043423976966,0.010118155308733945,-0.009963764700866351,0.03135859528676277,-0.04672900520338985,-0.12767573524597453,0.004022038541734219,-0.0012552260992767517,-0.005390644153936974,-0.008334688396113066,-0.0060119010339493295,0.044454499512307066,0.01776339988513187,0.92,1.32,-0.38,0.006,89216,252,1.6966%,-0.0002,1.3934,0.2051,0.6295,1.6126%,2.1261%,42.4716%,0.3895%,7
BrainStorm Cell Therapeutics Reports Mount Sinai Medical Center Has Contracted With Co. As Clinical Study Stie For Co.'s Phase 2 Label For NurOwn,2019-11-25,BCLI,2019-11-25 11:03:00+00:00,BRAINSTORM CELL THERAPEUTICS INC,14925.0,10501E20,0.0102040721103549,0.002525250194594264,-0.0025252499794200522,0.0025252500087376006,0.007575750474266618,-0.010101000095366519,0.09722215913246024,0.9292928803693334,0.0,-0.0025445267092437662,0.03703706334261647,0.045333351972671965,0.031578977893790716,0.012919941644772504,0.05376344976271863,0.92,1.32,-0.38,0.006,14925,252,1.0204%,0.0011,0.376,0.0058,0.2769,2.3715%,2.4014%,2.4684%,0.8969%,23
"Beacon Roofing Supply Q4 Adj. EPS $1.04 Misses $1.21 Estimate, Sales $2.03B Miss $2.05B Estimate",2019-11-25,BECN,2019-11-25 21:01:00+00:00,BEACON ROOFING SUPPLY INC,90353.0,07368510,-0.009498358704149723,0.0025759181843907353,-0.017205821420892553,0.013545817879170974,0.021278695676206993,0.030630086078176966,0.01840135485790917,-0.04166328424068888,-0.021171200614592767,-0.004515561779749988,-0.0055842079752219664,-0.01159703955069058,0.02617980364016681,0.12619857139082558,0.2871212834069643,0.92,1.32,-0.38,0.006,90353,252,-0.9498%,0.0006,0.7682,0.9311,0.9759,2.0517%,2.3215%,21.8912%,-2.6216%,15
